127.0.0.1 - - [29/May/2017:13:39:29 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [29/May/2017:13:39:30 +0900] "GET /mysns/main.html HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [29/May/2017:13:39:30 +0900] "GET /mysns/css/core.css HTTP/1.1" 200 1831
0:0:0:0:0:0:0:1 - - [29/May/2017:13:39:30 +0900] "GET /mysns/css/core2.css HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [29/May/2017:13:39:30 +0900] "GET /mysns/js/jquery-1.12.0.min.js HTTP/1.1" 200 97362
0:0:0:0:0:0:0:1 - - [29/May/2017:13:40:10 +0900] "GET /mysns/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2017:13:40:16 +0900] "GET /mysns/main.html HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [29/May/2017:13:40:16 +0900] "GET /mysns/js/jquery-1.12.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2017:13:40:16 +0900] "GET /mysns/css/core2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2017:13:40:17 +0900] "GET /mysns/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2017:13:40:17 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [29/May/2017:13:42:51 +0900] "GET /mysns/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2017:13:42:53 +0900] "GET /mysns/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2017:16:21:39 +0900] "OPTIONS /mysns/main.html HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/May/2017:16:21:39 +0900] "PROPFIND /mysns/main.html HTTP/1.1" 501 1155
0:0:0:0:0:0:0:1 - - [29/May/2017:16:21:39 +0900] "PROPFIND /mysns HTTP/1.1" 501 1155
0:0:0:0:0:0:0:1 - - [29/May/2017:16:21:40 +0900] "PROPFIND /mysns/main.html HTTP/1.1" 501 1155
0:0:0:0:0:0:0:1 - - [29/May/2017:16:21:40 +0900] "PROPFIND /mysns HTTP/1.1" 501 1155
0:0:0:0:0:0:0:1 - - [29/May/2017:16:21:40 +0900] "PROPFIND /mysns HTTP/1.1" 501 1155
0:0:0:0:0:0:0:1 - - [29/May/2017:16:21:40 +0900] "PROPFIND /mysns/main.html HTTP/1.1" 501 1155
0:0:0:0:0:0:0:1 - - [29/May/2017:16:21:40 +0900] "PROPFIND /mysns HTTP/1.1" 501 1155
