127.0.0.1 - - [28/Mar/2017:10:22:21 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Mar/2017:10:22:22 +0900] "GET /Hello2/META-INF/currentTime.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/Mar/2017:10:23:20 +0900] "GET /Hello2/META-INF/currentTime.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/Mar/2017:10:23:38 +0900] "GET /Hello2/META-INF/currentTime.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/Mar/2017:10:23:55 +0900] "GET /Hello2/hello.html HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [28/Mar/2017:10:25:33 +0900] "GET /Hello2/META-INF/currentTime.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/Mar/2017:10:26:07 +0900] "GET /Hello2/currentTime.jsp HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [28/Mar/2017:10:30:30 +0900] "GET /Hello2/currentTime.jsp HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [28/Mar/2017:10:58:28 +0900] "GET /Hello2/currentTime.jsp HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [28/Mar/2017:11:02:30 +0900] "GET /Hello2/currentTime.jsp HTTP/1.1" 200 105
