127.0.0.1 - - [05/Jun/2017:13:35:47 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:35:47 +0900] "GET /mysns_-_12_-_write_html.war/index.html HTTP/1.1" 200 1367
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:35:47 +0900] "GET /mysns_-_12_-_write_html.war/css/core.css HTTP/1.1" 200 2720
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:35:47 +0900] "GET /mysns_-_12_-_write_html.war/css/core2.css HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:35:47 +0900] "GET /mysns_-_12_-_write_html.war/js/jquery-1.12.0.min.js HTTP/1.1" 200 97362
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:35:47 +0900] "GET /mysns_-_12_-_write_html.war/images/back.png HTTP/1.1" 200 639014
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:35:51 +0900] "GET /mysns_-_12_-_write_html.war/main.html HTTP/1.1" 200 1582
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:35:51 +0900] "GET /mysns_-_12_-_write_html.war/js/core.js HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:35:51 +0900] "GET /mysns_-_12_-_write_html.war/images/navicon.png HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:35:51 +0900] "GET /mysns_-_12_-_write_html.war/images/pen.png HTTP/1.1" 200 22025
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:35:52 +0900] "POST /mysns_-_12_-_write_html.war/jsp/session.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:35:52 +0900] "GET /mysns_-_12_-_write_html.war/login.html HTTP/1.1" 200 2118
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:36:45 +0900] "GET /mysns_-_12_-_write_html.war/login.htm HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:36:45 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:37:23 +0900] "GET /mysns_-_12_-_write_html.war/login.htm HTTP/1.1" 404 1068
